identifier;country code;name;latitude;longitude;observe;daily obs.
1018;NOR;Andoya;69.24;16;1;96
1042;NOR;Hasvik;70.6;22.4;1;96
1079;NOR;Berlevaag;70.510652;29.018384;1;96
1104;NOR;Rost;67.531;12.099;1;96
1206;NOR;Stad;62.187077;5.127454;1;96
1247;NOR;Rissa;63.69;10.202;1;96
1405;NOR;Boemlo;59.853;5.09;1;96
1438;NOR;Haegebostad;58.36;7.166;1;96
1498;NOR;Hurum;59.627083;10.564472;1;96
2032;SWE;Kiruna;67.71;30.622;1;96
2092;SWE;Lulea;65.432;21.87;1;96
2200;SWE;Ostersund;63.296;14.762;1;96
2262;SWE;Ornskoldsvik;63.641;18.406;1;96
2334;SWE;Hudiksvall;61.579;16.716;1;96
2430;SWE;Leksand;60.723;14.88;1;96
2451;SWE;Stockholm;59.655;17.949;1;96
2570;SWE;Atvidaberg;58.106;15.94;1;96
2588;SWE;Hemse ;57.238;18.384;1;96
2600;SWE;Vara;58.256;12.829;1;96
2606;SWE;Angelholm;56.368;12.854;1;96
2666;SWE;Karlskrona;56.296;15.613;1;96
2775;FIN;Petajavesi ;62.305;25.44;1;96
2840;FIN;Luosto;67.13;26.9;1;96
2870;FIN;Utajarvi;64.774;26.322;1;96
2918;FIN;Kuopio;62.862;27.385;1;96
2925;FIN;Vimpeli;63.1;23.817;1;96
2933;FIN;Korpo;60.128;21.646;1;96
2941;FIN;Ikaalinen;61.767;23.08;1;96
2954;FIN;Anjalankoski;60.904;27.109;1;96
2975;FIN;Vantaa;60.271;24.873;1;96
2995;FIN;Kesalahti;61.90699;29.79772;1;96
0-246-0-107131;FIN;Nurmes *;63.83786;29.44893;1;96
3018;GBR;Druimastarraig;58.21;-6.18;1;48
3086;GBR;Hill of Dudwick;57.43;-2.04;1;48
3142;GBR;Holehead;56.02;-4.22;1;48
3159;GBR;Munduff Hill;56.21;-3.31;1;48
3253;GBR;High Moorsley;54.8031;-1.4739;1;48
3331;GBR;Hameldon Hill;53.75;-2.29;1;48
3375;GBR;Ingham;53.34;-0.56;1;48
3523;GBR;Clee Hill;52.4;-2.6;1;48
3601;GBR;Crug-y-Gorllwyn;51.98;-4.44;1;48
3675;GBR;Chenies;51.68;-0.53;1;48
3771;GBR;Thurnham;51.29;0.6;1;48
3813;GBR;Predannack;50;-5.22;1;48
3842;GBR;Cobbacombe;50.97;-3.45;1;48
3859;GBR;Dean Hill;51.03;-1.65;1;48
3897;GBR;Jersey;49.18;-2.22;1;48
3918;GBR;Castor Bay;54.5;-6.34;1;48
3962;IRL;Shannon;52.7;-8.917;1;96
3969;IRL;Dublin;53.43;-6.244;1;96
6234;NLD;Denhelder;52.954;4.791;1;288
6356;NLD;Herwijnen;51.836944;5.138056;1;288
0-352-0-008457;ISL;Skagi *;66.0557;-20.268;1;288
6451;BEL;Zaventem;50.9;4.467;1;288
6477;BEL;Wideumont;49.915;5.505;1;96
6661;CHE;Albis;47.285;8.513;1;96
6699;CHE;La Dole;46.426;6.1;1;96
6726;CHE;Plaine Morte;46.370646;7.486552;1;96
6768;CHE;Monte Lema;46.042;8.834;1;96
6776;CHE;Weissfluhgipfel;46.834974;9.794458;1;96
7129;FRA;Falaise;48.9271;-0.1495;1;48
7145;FRA;Trappes;48.774571;2.008309;1;48
7182;FRA;Nancy;48.7157;6.5815;1;48
7223;FRA;Treillieres;47.334;-1.651;1;48
7291;FRA;Montancy;47.3686;7.0189;1;48
7336;FRA;Cherves;46.6986;0.0655;1;48
7629;FRA;Toulouse;43.57432;1.37625;1;48
7637;FRA;Montclar;43.9905;2.6096;1;48
7658;FRA;Nimes;43.8061;4.5027;1;48
8007;ESP;La Coruna;43.171;-8.524;1;144
8019;ESP;Asturias;43.463;-6.301;1;144
8072;ESP;Palencia;41.996;-4.601;1;144
8081;ESP;Vizcaya;43.405;-2.841;1;144
8162;ESP;Zaragoza;41.737;-0.539;1;144
8179;ESP;Barcelona;41.409;1.886;1;144
8228;ESP;Madrid;40.176;-3.713;1;144
8262;ESP;Caceres;39.43;-6.284;1;144
8289;ESP;Valencia;39.176;-0.249;1;144
8308;ESP;Majorca;54.169;12.055;1;144
8364;ESP;Murcia;38.266;-1.189;1;144
8386;ESP;Sevilla Castillo les Guardas;37.679;-6.332;1;144
8475;ESP;Malaga;36.613;-4.651;1;144
8489;ESP;Almeria;36.833;-2.083;1;144
8550;PRT;Cruz Do Leao;39.072;-8.399;1;144
8553;PRT;Faro;37.305;-7.952;1;144
10103;DEU;Borkum;53.564;6.7483;1;288
10132;DEU;Boostedt;54.00438;10.04687;1;288
10169;DEU;Rostock;54.172;12.056;1;288
10204;DEU;Emden;53.34;7.024;1;288
10339;DEU;Hannover;52.46008;9.69452;1;288
10356;DEU;Ummendorf;52.156;11.173;1;288
10392;DEU;Proetzel;52.64867;13.85821;1;288
10410;DEU;Essen;51.407;6.968;1;288
10440;DEU;Flechtdorf;51.307;8.802;1;288
10488;DEU;Dresden;51.122;13.768;1;288
10557;DEU;Neuhaus;50.5;11.137;1;288
10605;DEU;Neuheilenbach;50.106;6.5;1;288
10629;DEU;Offenthal;49.98478;8.71294;1;288
10780;DEU;Eisberg;49.541;12.402;1;288
10832;DEU;Tuerkheim;48.585;9.784;1;288
10873;DEU;Isen;48.1747;12.10177;1;288
10908;DEU;Feldberg;47.871;8.003;1;288
10950;DEU;Memmingen;48.04214;10.21924;1;288
11038;AUT;Vienna;48.199;16.562;1;288
11052;AUT;Salzburg;48.065;13.062;1;288
11126;AUT;Patscherkofel;47.209;11.461;1;288
11164;AUT;Zirbitzkogel;47.072;14.56;1;288
11480;CZE;Brdy-Praha;49.5011;16.7885;1;288
11718;CZE;Skalky;49.6583;13.8178;1;288
11812;SVK;Maly Javornik;48.2561;17.1531;1;288
11958;SVK;Kojsovska hola;48.7826;20.9872;1;288
12151;POL;Gdansk;54.384;18.456;1;144
12220;POL;Swidwin;53.7958;15.8368;1;144
12331;POL;Poznan;52.41;16.832;1;144
12374;POL;Legionowo;52.4;20.931;1;144
12514;POL;Ramza;50.152;18.727;1;144
12544;POL;Pastewnik;50.833;16.04;1;144
12568;POL;Brzuchania;50.394;20.08;1;144
12579;POL;Rzeszow;50.114;22.003;1;144
12843;HUN;Budapest;47.429;19.182;1;144
12892;HUN;Napkor;47.963;21.889;1;144
12921;HUN;Poganyvar;46.66;17.062;1;144
12985;HUN;Szentes;46.63967;20.4325;1;144
14024;SVN;Lisca;46.0678;15.2848;1;144
14256;HRV;Bilogora;45.88;17.21;1;144
14280;HRV;Osijek;45.5;18.57;1;96
16061;ITA;Bric della Croce;45.03;7.73;1;144
16062;ITA;Monte Settapani;44.25;8.2;1;144
26038;EST;Harku;59.397667;24.602096;1;96
26232;EST;Syrgavere;58.482314;25.518328;1;96
60028;ESP;Gran Canaria;28.017;-15.617;1;144
71847;CAN;Wilberforce (WP) *;45.06;-78.21;1;24
71991;CAN;Negro Creek (WP) *;44.362;-80.859;1;24
71992;CAN;Walsingham (WP) *;42.6377;-80.573;1;24
71993;CAN;Harrow (WP) *;42.036;-82.892;1;24
71994;CAN;Eureka (WP) *;79.98;-85.93;1;24
71995;CAN;Egbert (WP) *;44.2345;-79.7806;1;24
71998;CAN;Markstay (WP) *;46.538;-80.53;1;24
